x,y,out
0,0,0
0,0.1,0.20472443103790283
0,0.2,0.4048619270324707
0,0.3,0.5888967514038086
0,0.4,0.7471694946289062
0,0.5,0.8731719255447388
0,0.6,0.9638789892196655
0,0.7,1.0192692279815674
0,0.8,1.0414445400238037
0,0.9,1.0337324142456055
0,1,0.999997615814209
0.1,0,0.21462607383728027
0.1,0.1,0.4143989086151123
0.1,0.2,0.5975974798202515
0.1,0.3,0.7546823024749756
0.1,0.4,0.8793014287948608
0.1,0.5,0.9685772657394409
0.1,0.6,1.02260160446167
0.1,0.7,1.0435452461242676
0.1,0.8,1.034767746925354
0.1,0.9,1.0001391172409058
0.1,1,0.9436224699020386
0.2,0,0.4239107370376587
0.2,0.1,0.6062542200088501
0.2,0.2,0.7621396780014038
0.2,0.3,0.8853703737258911
0.2,0.4,0.97321617603302
0.2,0.5,1.0258796215057373
0.2,0.6,1.0455987453460693
0.2,0.7,1.0357632637023926
0.2,0.8,1.0002483129501343
0.2,0.9,0.9430075883865356
0.2,1,0.8678774833679199
0.3,0,0.6148668527603149
0.3,0.1,0.7695407867431641
0.3,0.2,0.8913787603378296
0.3,0.3,0.9777958393096924
0.3,0.4,1.029103398323059
0.3,0.5,1.047605276107788
0.3,0.6,1.036719560623169
0.3,0.7,1.0003254413604736
0.3,0.8,0.9423671960830688
0.3,0.9,0.8666658401489258
0.3,1,0.7768580913543701
0.4,0,0.7768856287002563
0.4,0.1,0.8973264694213867
0.4,0.2,0.9823164343833923
0.4,0.3,1.0322736501693726
0.4,0.4,1.0495651960372925
0.4,0.5,1.0376369953155518
0.4,0.6,1.0003710985183716
0.4,0.7,0.9417016506195068
0.4,0.8,0.8654345273971558
0.4,0.9,0.7751903533935547
0.4,1,0.6744002103805542
0.5,0,0.903213620185852
0.5,0.1,0.9867781400680542
0.5,0.2,1.0353901386260986
0.5,0.3,1.0514788627624512
0.5,0.4,1.0385158061981201
0.5,0.5,1.0003852844238281
0.5,0.6,0.9410110712051392
0.5,0.7,0.864183783531189
0.5,0.8,0.7735077142715454
0.5,0.9,0.672399640083313
0.5,1,0.5640902519226074
0.6,0,0.9911811351776123
0.6,0.1,1.0384538173675537
0.6,0.2,1.0533466339111328
0.6,0.3,1.0393562316894531
0.6,0.4,1.0003684759140015
0.6,0.5,0.9402961134910583
0.6,0.6,0.862913966178894
0.6,0.7,0.77181077003479
0.6,0.8,0.6703883409500122
0.6,0.9,0.5618647336959839
0.6,1,0.44925713539123535
0.7,0,1.0414642095565796
0.7,0.1,1.0551687479019165
0.7,0.2,1.040158748626709
0.7,0.3,1.0003209114074707
0.7,0.4,0.9395565390586853
0.7,0.5,0.8616253137588501
0.7,0.6,0.7700997591018677
0.7,0.7,0.6683669090270996
0.7,0.8,0.5596321821212769
0.7,0.9,0.4469008445739746
0.7,1,0.3329397439956665
0.8,0,1.056945562362671
0.8,0.1,1.0409235954284668
0.8,0.2,1.0002427101135254
0.8,0.3,0.9387930035591125
0.8,0.4,0.8603179454803467
0.8,0.5,0.7683742046356201
0.8,0.6,0.6663349866867065
0.8,0.7,0.5573922395706177
0.8,0.8,0.4445399045944214
0.8,0.9,0.33053314685821533
0.8,1,0.21783339977264404
0.9,0,1.0416512489318848
0.9,0.1,1.0001345872879028
0.9,0.2,0.9380054473876953
0.9,0.3,0.8589919805526733
0.9,0.4,0.7666349411010742
0.9,0.5,0.6642932891845703
0.9,0.6,0.5551457405090332
0.9,0.7,0.44217467308044434
0.9,0.8,0.3281242847442627
0.9,0.9,0.2154446840286255
0.9,1,0.10623562335968018
1,0,0.9999964237213135
1,0.1,0.9371944069862366
1,0.2,0.8576478958129883
1,0.3,0.7648818492889404
1,0.4,0.6622411012649536
1,0.5,0.5528920888900757
1,0.6,0.439805269241333
1,0.7,0.32571351528167725
1,0.8,0.21305549144744873
1,0.9,0.10391998291015625
1,1,0

